,Experiment,Sample,Cells,Input_replicate,Input_adapter,Input_fastq,CLIP_replicate,CLIP_adapter,CLIP_fastq,Notes
0,PUF60-MDAMB231,PUF60-MDAMB231,MDAMB231,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/231-IN1_S17_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/231-IP1_S18_R1_001.fastq.gz,
1,PUF60-MDAMB231,PUF60-MDAMB231,MDAMB231,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/231-IN2_S19_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/231-IP2_S20_R1_001.fastq.gz,
2,PUF60-MDAMB436,PUF60-MDAMB436,MDAMB436,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/436_PUF60_IN1_S53_L005_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/436_PUF60_IP1_S67_L005_R1_001.fastq.gz,
3,PUF60-MDAMB436,PUF60-MDAMB436,MDAMB436,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/436_PUF60_IN2_S54_L005_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/436_PUF60_IP2_S68_L005_R1_001.fastq.gz,
4,PUF60-MCF10A,PUF60-MCF10A,MCF10A,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/10A_rep1N_S20_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/10A_rep1P_S23_R1_001.fastq.gz,
5,PUF60-MCF10A,PUF60-MCF10A,MCF10A,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/10A_rep2N_S30_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA3.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/10A_rep2P_S37_R1_001.fastq.gz,
6,PUF60-SUM149,PUF60-SUM149,SUM149,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/149_rep1N_S5_L003_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/149_rep1P_S6_L003_R1_001.fastq.gz,
7,PUF60-SUM149,PUF60-SUM149,SUM149,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/149_rep2N_S7_L003_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRNA1.fasta,/tscc/projects/ps-yeolab4/seqdata/tankka_alex/final_puf60_clips/149_rep2P_S8_L003_R1_001.fastq.gz,
8,L140P-PUF60,L140P-PUF60,MDAMB231,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IN1_S36_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP1_S44_L001_R1_001.fastq.gz,
9,L140P-PUF60,L140P-PUF60,MDAMB231,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IN2_S37_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP2_S45_L001_R1_001.fastq.gz,
10,WT-PUF60,WT-PUF60,MDAMB436,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IN1_S38_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP1_S46_L001_R1_001.fastq.gz,
11,WT-PUF60,WT-PUF60,MDAMB436,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IN2_S39_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP2_S47_L001_R1_001.fastq.gz,
12,V5,V5,MCF10A,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/V5_IN1_S27_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/V5_IP1_S29_L001_R1_001.fastq.gz,
13,V5,V5,MCF10A,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/InvRiL19.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/V5_IN2_S28_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/V5_IP2_S30_L001_R1_001.fastq.gz,
0,L140P-vs-WT,L140P-vs-WT,MDAMB231,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP1_S46_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP1_S44_L001_R1_001.fastq.gz,
1,L140P-vs-WT,L140P-vs-WT,MDAMB231,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP2_S47_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP2_S45_L001_R1_001.fastq.gz,
0,WT-vs-L140P,WT-vs-L140P,MDAMB231,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP1_S44_L001_R1_001.fastq.gz,1,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP1_S46_L001_R1_001.fastq.gz,
1,WT-vs-L140P,WT-vs-L140P,MDAMB231,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/L14OP_IP2_S45_L001_R1_001.fastq.gz,2,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRNA1.fasta,/tscc/nfs/home/atankka/seqdata/tankka_alex/20240221_L140P/WT_IP2_S47_L001_R1_001.fastq.gz,
